LED,OLED,QLED,UHD,ULED,X4K,brand,current_price,description,id,inch,name,old_price
1,0,0,0,0,0,HAI,749.0,Energy saving and Eco-friendly with auto control LED light outputFull High-Definition 1080p resolutionUSB Media availableHDMI Media available,HAI-LE32K6000T,32.0,Haier 32-Inch Full HD LED TV Model LE32K6000T,889.0
1,0,0,1,0,1,HAI,1885.0,Smart Share function which connects with smartphone and padAndroid Operating System and Wi-Fi connectivitySmart Cursor Remote Mouse PointerUltra High-Definition in 4K Crystal Clear Image,HAI-LE50U6600U,50.0,Haier 50-inch 4K Ultra HD Smart LED TV LE50U6600U,2829.0
1,0,0,0,0,0,HSE,1599.0,Hisense new VIDAA U Smart Tv Operating SystemOne Touch Access and USB Media with Divx DecoderOpera Web Browser and App Store Dolby Digital crisp and clear audioLED Matrix ,HSE-49A5700PW,49.0,Hisense 49-Inch HD LED Smart TV Model 49A5700PW,1899.0
1,0,0,0,0,0,HSE,1499.0,49 inch narrow frame Display3 HDMI and 1 USB Ports1920 x 1080 ResolutionEnriched Visuals and AudioEnchanced Color ImagingDolby digital plusDvbT2 freeview,HSE-49N2173P,49.0,Hisense 49-inch LED TV HSE-49N2173P,1829.0
0,0,0,1,0,1,HSE,2399.0,Hisense new VIDAA Smart Tv Operating SystemSmartphone as remote control using RemoteAppHDR Tech for Ultra HD 4K Experience movies or gamingMEMC tech for smooth motion to see clearly fast moving object,HSE-55A6100UW,55.0,Hisense 55-inch 4K Ultra HD Smart TV Model 55A6100UW,2699.0
0,0,0,1,0,0,HSE,2599.0,65-Inch Ultra HD 3840×2160 HDR Technology Remote App,HSE-55A6501UW,55.0,Hisense 55-Inch UHD TV A6501,2999.0
0,0,0,1,0,0,HSE,3899.0,65-Inch Ultra HD 3840×2160 HDR Technology Remote App,HSE-65A6501UW,65.0,Hisense 65-Inch UHD TV A6501,4999.0
0,0,0,1,0,0,LG,1799.0,High-Resolution for a razor sharp imageConsistent images at any angleThe core of authentic image4K Active HDR for a lifelike sceneLG TV meets AIMulti-channel bringing encapsulating sound effect,LG-43UK6300,43.0,LG 43UK6300PTE 43-inch UK63 Series UHD HDR Smart TV LG-43UK6300,2357.0
0,0,0,1,0,0,LG,1999.0,49-inchMulti-channelHigh-Resolution4K Active HDR,LG-49UK6320,49.0,LG 49-inch UHD TV LG-49UK6320,3017.0
0,0,0,1,0,0,LG,3499.0,"Rich, accurate color and deeper blackSpectacular colors by Nano Cell™ DisplayRevealing the truth about colors in TVThe New Brain ?7 Intelligent ProcessorCinema HDR, delivering the filmmaker's visionLG SUPER UHD TV meets AI",LG-49SK8000,49.0,LG 49SK8000PTA 49-inch SK80 Series Super UHD HDR Smart TV LG-49SK8000,4299.0
0,0,0,1,0,0,LG,2599.0,4K Active HDRHDR EffectActive HDRTrue Colour AccuracyUltra SurroundSmart TV webOSDTS VirtualUltra Luminance,LG-50UK6500,50.0,LG 50-inch UHD TV LG-50UK6500,3300.0
0,1,0,0,0,0,LG,7288.0,"Click HERE for redemption of free gift and follow the instructions indicated.Perfect Black. Stunning Contrast.The New Brain ?7 Intelligent ProcessorCinema HDR, delivering the filmmaker's visionLG OLED TV meets AIDolby Atmos® Cinematic Sound at Home",LG-55B8P,55.0,LG 55-inch B8 OLED TV OLED55B8PTA,10499.0
0,0,0,1,0,0,LG,2688.0,Click HERE for redemption of free gift and follow the instructions indicated.,LG-55UK6320,55.0,LG 55-inch UHD HDR Smart TV 55UK6320PTE,3961.0
0,0,0,1,0,0,LG,4199.0,55-inchNano CellTM DisplayDTS VirtualUltra Luminance4K Active HDR,LG-55UK7500,55.0,LG 55-inch UHD TV LG-55UK7500,6602.0
0,1,0,1,0,0,LG,11699.0,Click HERE for redemption of free gift and follow the instructions indicated.,LG-65C8,65.0,LG 65-inch C8 OLED UHD HDR Smart TV OLED65C8PTA,19810.0
